Kanji,Word,Meaning,Meaning_FR,Meaning_KR
方,一方,"one (esp. of two), the other, one way, the other way, one direction, the other direction, one side, the other side, one party, the other party; on the one hand, on the other hand; whereas, although, but at the same time, meanwhile, in turn; (after noun, adjective-stem or plain verb) just keeps, being inclined to ..., tending to be ..., tending to do ..., ntinuously ..., just keeps on ...ing, only","l’un (esp. de deux), l’autre, dans un sens, dans l’autre, dans l’autre sens, dans l’autre direction, l’autre, l’autre, l’autre, l’autre; d’une part, d’autre part; considérant que, bien que, mais en même temps, en attendant, à son tour; (après nom, adjectif-tige ou verbe simple) garde juste, étant enclin à ..., ayant tendance à être ..., ayant tendance à faire ..., ntinuously ..., il suffit de continuer ... ing, seulement","1(esp. 2의 esp.), 다른 쪽, 다른 쪽, 한 방향, 다른 방향, 한쪽, 한쪽, 다른 쪽, 한 쪽, 한 쪽, 상대방; 한편으로는, 다른 한편으로는; 반면, 비록, 하지만 동시에, 한편, 차례로; (명사 후, 형용사 줄기 또는 일반 동사) 그냥 유지, 경사되고 ..., 할 경향이 ..., ntinuously ..., 그냥 계속 ... ING,"
方,見方,viewpoint,Vue,관점
方,地方,"area, locality, district, region, province; countryside, rural area; coast (esp. as seen from the water); person singing ballads in Noh, person in charge of music in a Japanese dance performance","région, localité, district, région, province; campagne, zone rurale; côte (esp. vu de l’eau); personne chantant des ballades à Noh, personne en charge de la musique dans un spectacle de danse japonais","지역, 지역, 지구, 지역, 지방; 시골, 농촌 지역; 해안 (물에서 본 대로 esp. ); 일본 무용공연에서 음악을 담당하는 노에서 발라드를 부르는 사람"
方,方向,"direction, orientation, bearing, way; course (e.g. of action)","direction, orientation, roulement, chemin; cours (p. ex. d’action)","방향, 방향, 베어링, 방법; 코스(예: 행동)"
方,方針,"objective, plan, policy","objectif, plan, politique","목표, 계획, 정책"
方,方法,"method, process, manner, way, means, technique","méthode, processus, manière, manière, moyens, technique","방법, 프로세스, 방법, 방법, 수단, 기술"
方,考え方,way of thinking,façon de penser,사고 방식
方,行方,"(one's) whereabouts; course, direction","(son) lieu; cours, direction","(하나) 행방; 코스, 방향"
方,双方,"two way, both parties, mutual, both","deux voies, les deux parties, mutuelle, les deux","양방향, 양 당사자, 상호, 둘 다"
方,方,"side, direction, way","côté, direction, façon","측면, 방향, 방법"
新,新た,"new, fresh, novel; newly, freshly, re-","nouveau, frais, nouveau; nouvellement, fraîchement, re-","새로운, 신선한, 소설; 새로, 갓, 재"
新,新党,new (political) party,nouveau parti (politique),새로운 (정치) 정당
新,新聞,newspaper,Journal,신문
新,新人,"new face, newcomer; modern humans (from Cro-Magnon man onwards)","nouveau visage, nouveau venu; humains modernes (de Cro-Magnon homme à partir)","새로운 얼굴, 신참; 현대 인류 (이후 크로 마뇽 사람에서)"
新,新生,"rebirth, new birth, nascent","renaissance, nouvelle naissance, naissante","중생, 새로운 출생, 초기"
新,新しい,new,Nouveau,새로운
新,新幹線,"bullet train (very high speed), Shinkansen","train à balles (très grande vitesse), Shinkansen","탄환 열차(고속), 신칸센"
新,革新,"reform, innovation","réforme, innovation","개혁, 혁신"
新,最新,"latest, newest, late-breaking (news)","plus récent, le plus récent, en retard (nouvelles)","최신, 최신, 늦은 속보 (뉴스)"
新,新規,"new, fresh; new customer; new rules or regulations","nouveau, frais; nouveau client; nouvelles règles ou règlements","새로운, 신선한; 새로운 고객; 새로운 규칙 또는 규정"
場,現場,"actual spot, scene, scene of the crime","lieu réel, scène, scène du crime","실제 장소, 장면, 범죄의 현장"
場,市場,(town) market; (the) marketplace,marché (ville); (le) marché,(마을) 시장; () 마켓플레이스
場,場所,"place, location","lieu, emplacement","장소, 위치"
場,立場,"standpoint, position, situation","point de vue, position, situation","관점, 위치, 상황"
場,工場,"factory, plant, mill, workshop","usine, usine, moulin, atelier","공장, 공장, 공장, 작업장"
場,会場,"assembly hall, meeting place, the grounds","salle de réunion, lieu de réunion, les terrains","집회실, 회의장, 부지"
場,劇場,"theatre, theater, playhouse","théâtre, théâtre, maison de jeu","극장, 극장, 극장"
場,出場,"(stage) appearance, participation, performance","(étape) apparence, participation, performance","(무대) 외관, 참가, 퍼포먼스"
場,場面,"scene, setting (e.g. of novel)","scène, mise en scène (p. ex. roman)","장면, 설정(예: 소설)"
場,職場,"one's post, place of work, workplace","son poste, le lieu de travail, le lieu de travail","자신의 게시물, 직장, 직장"
口,口,"mouth; opening, hole, gap, orifice; mouth (of a bottle), spout, nozzle, mouthpiece; gate, door, entrance, exit; speaking, speech, talk (i.e. gossip); taste, palate; mouth (to feed); opening (i.e. vacancy), available position; invitation, summons; kind, sort, type; opening (i.e. beginning); counter for mouthfuls, shares (of money), and swords","bouche; ouverture, trou, espace, orifice; bouche (d’une bouteille), bec, buse, embouchure; porte, porte, entrée, sortie; parler, parler, parler (c’est-à-dire des ragots); goût, palais; bouche (à nourrir); l’ouverture (c.-à-d. la vacance), poste disponible; invitation, convocation; genre, trier, type; ouverture (c.-à-d. début); compteur pour les bouchées, les actions (de l’argent), et les épées","입; 개구부, 구멍, 틈, 오리피스; 입 (병), 주전자, 노즐, 마우스 피스; 게이트, 문, 입구, 출구; 말하기, 말하기, 말하기, 이야기 (즉, 험담); 맛, 미각; 입 (먹이); 개방 (즉, 공석), 사용 가능한 위치; 초대장, 소환장; 종류, 정렬, 유형; 열기(즉, 시작); 한입, 주식 (돈) 및 칼에 대한 카운터"
口,人口,population; common talk,population; parler commune,인구; 일반적인 이야기
口,窓口,"ticket window, teller window, counter; contact person, point of contact","fenêtre de billet, fenêtre de guichet, compteur; personne-ressource, point de contact","티켓 창, 창구, 카운터; 연락처, 연락 지점"
口,口座,account (e.g. bank),compte (p. ex. banque),계좌(예: 은행)
口,入り口,"entrance, entry, gate, approach, mouth","entrée, entrée, porte, approche, bouche","입구, 입구, 게이트, 접근, 입"
口,大口,"large amount, big mouth, tall talk","grande quantité, grande bouche, grand discours","다량, 큰 입, 키가 큰 이야기"
口,口調,"tone (e.g. of voice, etc.), (verbal) expression","ton (p. ex. de la voix, etc.), expression (verbale)","톤(예: 음성 등), (구두) 표현"
口,出口,"exit, gateway, way out, outlet, leak, vent","sortie, passerelle, sortie, sortie, fuite, évent","출구, 게이트웨이, 웨이 아웃, 콘센트, 누출, 통풍구"
口,川口,"mouth of river, estuary","bouche de rivière, estuaire","강의 입, 하구"
口,手口,"modus operandi, criminal technique, trick","modus operandi, technique criminelle, astuce","modus 오페란디, 범죄 기술, 트릭"
町,町,"town, block, neighbourhood, neighborhood; street, road; 109.09 m; 0.99 hectares","ville, pâté de maisons, quartier, quartier; rue, route; 109,09 m; 0,99 hectares","마을, 블록, 이웃, 이웃; 거리, 도로; 109.09 m; 0.99 헥타르"
町,市町村,"cities, towns and villages, municipalities","villes, villes et villages, municipalités","도시, 마을, 지방자치단체"
町,同町,"the same town, that town","la même ville, cette ville","같은 마을, 그 마을"
町,町長,"town headman, town mayor","chef de ville, maire de la ville","마을 의장, 마을 시장"
町,町内,"neighborhood, neighbourhood, street, block, town","quartier, quartier, rue, pâté de maisons, ville","이웃, 이웃, 거리, 블록, 마을"
町,下町,"Shitamachi, lower parts of town","Shitamachi, partie inférieure de la ville","시타마치, 하부"
町,町村,towns and villages,villes et villages,마을과 마을
町,町民,townspeople,Habitants,마을
町,町並み,"street (of stores and houses), townscape, (look of) stores and houses on street","rue (des magasins et des maisons), paysage urbain, (look of) magasins et maisons sur la rue","거리 (상점과 주택의), 마을 풍경, (모양) 거리에 상점과 주택"
町,室町,"Muromachi (era 1392-1573, or 1333-1573, or 1336-1573)","Muromachi (ère 1392-1573, ou 1333-1573, ou 1336-1573)","무로마치 (1392-1573, 또는 1333-1573, 또는 1336-1573)"
明,明らか,"obvious, evident, clear, plain","évident, évident, clair, simple","명백한, 명백한, 명확한, 일반"
明,声明,"declaration, statement, proclamation","déclaration, déclaration, proclamation","선언, 성명서, 선언문"
明,説明,"explanation, exposition","explication, exposition","설명, 박람회"
明,不明,"unknown, obscure, indistinct, uncertain, ambiguous, ignorant, lack of wisdom, anonymous, unidentified","inconnu, obscur, indistincte, incertain, ambigu, ignorant, manque de sagesse, anonyme, non identifié","알 수없는, 모호한, 불분명한, 불확실한, 모호한, 무지, 지혜의 부족, 익명, 정체불명의"
明,明確,"clear up, clarify, define","éclaircir, clarifier, définir","정리, 명확히, 정의"
明,公明党,"New Komeito (Japanese political party), New Clean Government Party, Justice Party","New Komeito (parti politique japonais), New Clean Government Party, Justice Party","뉴 고메이토 (일본 정당), 뉴 클린 정부 당, 정의당"
明,解明,"clarification, elucidation, explication","clarification, élucidation, explication","설명, 해명, 설명"
明,公明,"fairness, justice","l’équité, la justice","공정성, 정의"
明,表明,"declaration, indication, representation, manifestation, demonstration, expression, announcement, assertion","déclaration, indication, représentation, manifestation, manifestation, expression, annonce, affirmation","선언, 표시, 표현, 표현, 데모, 표현, 공지, 주장"
明,未明,"early dawn, grey of morning, gray of morning","aube précoce, gris du matin, gris du matin","이른 새벽, 아침의 회색, 아침의 회색"
京,京,"imperial capital (esp. Kyoto); final word of an iroha-uta; 10^16, 10,000,000,000,000,000, ten quadrillion (American), (obs) ten thousand billion (British)","capitale impériale (esp. Kyoto); dernier mot d’un iroha-uta; 10-16, 10 millions d’euros, 10 000 000 000,000, dix quadrillions (américains), (obs) dix mille milliards (britanniques)","제국의 수도 (esp. 교토); 이로하 우타의 마지막 말씀; 10^16, 10,000,000,000,000,000, 10 쿼드릴레이션(미국), (obs) 10,000,000(영국)"
京,東京,Tokyo (current capital of Japan),Tokyo (capitale actuelle du Japon),도쿄(현재 일본의 수도)
京,北京,"Beijing (China), Peking","Beijing (Chine), Pékin","베이징 (중국), 북경"
京,京都,Kyoto,Kyoto,교토
京,東京証券取引所,"Tokyo Stock Exchange, TSE","Bourse de Tokyo, TSE","도쿄 증권거래소, TSE"
京,帝京,the capital,la capitale,수도
京,中京,Nagoya and environs,Nagoya et ses environs,나고야와 주변
京,在京,being in Tokyo,être à Tokyo,도쿄에 있는 것
京,上京,proceeding to the capital (Tokyo),jusqu’à la capitale (Tokyo),수도(도쿄)로 가는 절차
京,京成,train line Tokyo - Narita,ligne de train Tokyo - Narita,기차 노선 도쿄 - 나리타
空,空,"emptiness, vacuum, blank","vide, vide, vide, vide","공허함, 진공, 공백"
空,空港,airport,Aéroport,공항
空,航空,"aviation, flying","l’aviation, le vol","항공, 비행"
空,空気,"air, atmosphere","air, atmosphère","공기, 분위기"
空,航空機,"aircraft, aeroplane, airplane","avions, avion, avion","항공기, 비행기, 비행기"
空,空間,"space, room, airspace","espace, pièce, espace aérien","공간, 방, 영공"
空,空爆,aerial bombing,bombardement aérien,공중 폭격
空,空軍,Air Force,Force aérienne,공군
空,上空,"sky, the skies, high-altitude sky, upper air","ciel, le ciel, le ciel de haute altitude, l’air supérieur","하늘, 하늘, 높은 고도의 하늘, 상부 공기"
空,架空,"aerial, overhead, fiction, fanciful","aérien, au-dessus, fiction, fantaisiste","공중, 오버 헤드, 소설, 공상"
